Config	Applicaiton	Miss Rate	Hot Access	Cool Access	Remap Access	Average IPC	Max IPC	Average Time	Max Time
cache_dram80_no-remap	lu.ncont	0.0319169	0.0	20665069.0	0.0	0.54	0.55	486194686.0	486194686
cache_dram80_no-remap	radix	0.0542873	0.0	1373825.0	0.0	0.37	0.37	43315706.0	43315706
cache_dram80_no-remap	raytrace	0.0475347	0.0	14495201.0	0.0	0.48	0.49	387050391.0	387050391
cache_dram80_no-remap	water.nsq	0.0826387	0.0	4287284.0	0.0	0.8025	0.83	584940345.0	584940345
cache_dram80_no-remap	water.sp	0.0391815	0.0	2878060.0	0.0	0.905	0.98	217273028.0	217273028
cache_dram80_remap0	barnes	0.036148	0.0	7146087.0	4204.0	0.4075	0.41	835928728.0	835928728
cache_dram80_remap0	cholesky	0.0332797	0.0	10455459.0	0.0	0.89	0.93	87602256.0	87602256
cache_dram80_remap0	fft	0.0338378	0.0	37349618.0	0.0	0.78	0.78	276844153.0	276844153
cache_dram80_remap0	fmm	0.10932	0.0	10370156.0	0.0	1.0725	1.08	438284764.0	438284764
cache_dram80_remap0	lu.cont	0.0325388	0.0	11985007.0	0.0	0.77	0.79	336467704.0	336467704
cache_dram80_remap0	lu.ncont	0.0318518	0.0	20642469.0	0.0	0.54	0.55	485656586.0	485656586
cache_dram80_remap0	radix	0.0543321	0.0	1375499.0	0.0	0.37	0.37	43360679.0	43360679
cache_dram80_remap0	raytrace	0.0467135	0.0	14540755.0	0.0	0.48	0.49	388169558.0	388169558
cache_dram80_remap0	water.nsq	0.0808546	0.0	4286972.0	0.0	0.8025	0.83	584489545.0	584489545
cache_dram80_remap0	water.sp	0.0436632	0.0	2872199.0	0.0	0.88	0.95	223002134.0	223002134
cache_dram80_remap1g	barnes	0.0359177	0.0	7145965.0	2104.0	0.4075	0.41	835868783.0	835868783
cache_dram80_remap1g	cholesky	0.0332702	0.0	10463903.0	0.0	0.885	0.93	87841455.0	87841455
cache_dram80_remap1g	fft	0.0338475	0.0	37352438.0	0.0	0.78	0.78	275034253.0	275034253
cache_dram80_remap1g	fmm	0.108882	0.0	10372002.0	0.0	1.0725	1.08	438293803.0	438293803
cache_dram80_remap1g	lu.cont	0.032532	0.0	11983403.0	0.0	0.7725	0.79	335480199.0	335480199
cache_dram80_remap1g	lu.ncont	0.0323078	0.0	20627553.0	0.0	0.5425	0.56	482558632.0	482558632
cache_dram80_remap1g	radix	0.0542655	0.0	1374249.0	0.0	0.37	0.37	43375199.0	43375199
cache_dram80_remap1g	raytrace	0.0474099	0.0	14416922.0	0.0	0.48	0.49	387272458.0	387272458
cache_dram80_remap1g	water.nsq	0.0809103	0.0	4283442.0	0.0	0.7975	0.83	589225382.0	589225382
cache_dram80_remap1g	water.sp	0.0384581	0.0	2877439.0	0.0	0.895	0.97	218257596.0	218257596
cache_dram80_remap1l	barnes	0.0358203	0.0	7144607.0	2104.0	0.4075	0.41	836555383.0	836555383
cache_dram80_remap1l	cholesky	0.033355	0.0	10463535.0	0.0	0.8875	0.93	87855022.0	87855022
cache_dram80_remap1l	fft	0.0337675	0.0	37351926.0	0.0	0.77	0.77	278454653.0	278454653
cache_dram80_remap1l	fmm	0.109613	0.0	10364334.0	0.0	1.0725	1.08	438273063.0	438273063
cache_dram80_remap1l	lu.cont	0.0325278	0.0	11984275.0	0.0	0.78	0.8	334062804.0	334062804
cache_dram80_remap1l	lu.ncont	0.0318803	0.0	20649314.0	0.0	0.5425	0.56	483677286.0	483677286
cache_dram80_remap1l	radix	0.0544797	0.0	1374984.0	0.0	0.37	0.37	43361687.0	43361687
cache_dram80_remap1l	raytrace	0.0448355	0.0	14585381.0	0.0	0.485	0.49	387292258.0	387292258
cache_dram80_remap1l	water.nsq	0.0819042	0.0	4281444.0	0.0	0.8	0.83	587559545.0	587559545
cache_dram80_remap1l	water.sp	0.0380066	0.0	2873840.0	0.0	0.905	0.98	217465928.0	217465928
cache_dram81_no-remap	barnes	0.0356724	0.0	7145688.0	0.0	0.4375	0.44	775796983.0	775796983
cache_dram81_no-remap	cholesky	0.0333203	0.0	10465427.0	0.0	1.0275	1.09	76773422.0	76773422
cache_dram81_no-remap	fft	0.0338434	0.0	37351117.0	0.0	0.92	0.92	233381353.0	233381353
cache_dram81_no-remap	fmm	0.10906	0.0	10372597.0	0.0	1.1775	1.19	398740563.0	398740563
cache_dram81_no-remap	lu.cont	0.0326261	0.0	11987925.0	0.0	0.86	0.88	301607762.0	301607762
cache_dram81_no-remap	lu.ncont	0.0321943	0.0	20910930.0	0.0	0.6525	0.67	402217657.0	402217657
cache_dram81_no-remap	radix	0.0541299	0.0	1375835.0	0.0	0.38	0.38	41862534.0	41862534
cache_dram81_no-remap	raytrace	0.047202	99.0	14500671.0	0.0	0.53	0.54	355133119.0	355133119
cache_dram81_no-remap	water.nsq	0.0810075	0.0	4284615.0	0.0	0.88	0.91	532877682.0	532877682
cache_dram81_no-remap	water.sp	0.0382863	0.0	2871078.0	0.0	0.98	1.06	199847296.0	199847296
cache_dram81_remap0	barnes	0.0359876	0.0	7139785.0	2100.0	0.4375	0.44	775867261.0	775867261
cache_dram81_remap0	cholesky	0.0332068	0.0	10462222.0	0.0	1.02	1.08	77038656.0	77038656
cache_dram81_remap0	fft	0.0337426	0.0	37350436.0	0.0	0.93	0.93	233056753.0	233056753
cache_dram81_remap0	fmm	0.10918	0.0	10362380.0	0.0	1.175	1.19	399471059.0	399471059
cache_dram81_remap0	lu.cont	0.0325556	0.0	11980276.0	0.0	0.86	0.88	302945941.0	302945941
cache_dram81_remap0	lu.ncont	0.0321859	0.0	20900192.0	0.0	0.6475	0.66	405107757.0	405107757
cache_dram81_remap0	radix	0.0544209	0.0	1376509.0	0.0	0.38	0.38	41835266.0	41835266
cache_dram81_remap0	raytrace	0.0467325	0.0	14442029.0	0.0	0.52	0.53	358979958.0	358979958
cache_dram81_remap0	water.nsq	0.0773592	0.0	4293658.0	0.0	0.88	0.91	532835214.0	532835214
cache_dram81_remap0	water.sp	0.0396301	0.0	2883861.0	0.0	0.97	1.05	202408796.0	202408796
cache_dram81_remap1g	barnes	0.0360949	0.0	7147262.0	2103.0	0.4375	0.44	775364828.0	775364828
cache_dram81_remap1g	cholesky	0.0332789	0.0	10464074.0	0.0	1.0275	1.09	76795407.0	76795407
cache_dram81_remap1g	fft	0.0338133	0.0	37350252.0	0.0	0.94	0.94	230149653.0	230149653
cache_dram81_remap1g	fmm	0.109792	0.0	10362269.0	0.0	1.175	1.19	399516959.0	399516959
cache_dram81_remap1g	lu.cont	0.0325701	0.0	11982628.0	0.0	0.86	0.88	301611325.0	301611325
cache_dram81_remap1g	lu.ncont	0.0323471	0.0	20941369.0	0.0	0.6475	0.66	404072686.0	404072686
cache_dram81_remap1g	radix	0.0542037	0.0	1375476.0	0.0	0.38	0.38	41882799.0	41882799
cache_dram81_remap1g	raytrace	0.0468566	0.0	14513478.0	0.0	0.53	0.54	354413019.0	354413019
cache_dram81_remap1g	water.nsq	0.0807485	0.0	4285774.0	0.0	0.8825	0.91	532191282.0	532191282
cache_dram81_remap1g	water.sp	0.0380928	0.0	2872110.0	0.0	0.98	1.06	200797596.0	200797596
cache_dram81_remap1l	barnes	0.0363578	0.0	7143838.0	4199.0	0.44	0.45	773334261.0	773334261
cache_dram81_remap1l	cholesky	0.033301	0.0	10458936.0	0.0	1.0275	1.09	76815856.0	76815856
cache_dram81_remap1l	fft	0.0337679	0.0	37352317.0	0.0	0.93	0.93	231493553.0	231493553
cache_dram81_remap1l	fmm	0.108656	0.0	10373994.0	0.0	1.17	1.18	401533164.0	401533164
cache_dram81_remap1l	lu.cont	0.0325105	0.0	11982865.0	0.0	0.86	0.88	302964962.0	302964962
cache_dram81_remap1l	lu.ncont	0.0320775	0.0	20911356.0	0.0	0.6475	0.66	405062129.0	405062129
cache_dram81_remap1l	radix	0.054293	0.0	1376542.0	0.0	0.38	0.38	41883368.0	41883368
cache_dram81_remap1l	raytrace	0.0448004	0.0	14492904.0	2433.0	0.5275	0.53	357052858.0	357052858
cache_dram81_remap1l	water.nsq	0.0808053	0.0	4282269.0	0.0	0.8875	0.92	529144869.0	529144869
cache_dram81_remap1l	water.sp	0.0395942	0.0	2883221.0	0.0	0.98	1.06	200768328.0	200768328
cache_dram82_no-remap	barnes	0.035795	5738.0	7136574.0	0.0	0.47	0.48	719792028.0	719792028
cache_dram82_no-remap	cholesky	0.0331566	437.0	10456174.0	0.0	1.155	1.22	68610270.0	68610270
cache_dram82_no-remap	fft	0.0337433	203.0	37351810.0	0.0	1.07	1.07	200603955.0	200603955
cache_dram82_no-remap	fmm	0.109045	2593.0	10371897.0	0.0	1.3	1.31	361249503.0	361249503
cache_dram82_no-remap	lu.cont	0.0325555	0.0	11984229.0	0.0	0.97	0.99	267455572.0	267455572
cache_dram82_no-remap	lu.ncont	0.0319387	0.0	20990669.0	0.0	0.79	0.81	333099486.0	333099486
cache_dram82_no-remap	radix	0.0540075	5.0	1376056.0	0.0	0.4	0.4	40052606.0	40052606
cache_dram82_no-remap	raytrace	0.0471171	533.0	14513177.0	0.0	0.57	0.58	330298419.0	330298419
cache_dram82_no-remap	water.nsq	0.0807848	0.0	4281864.0	0.0	0.9475	0.98	495694682.0	495694682
cache_dram82_no-remap	water.sp	0.0385782	0.0	2882212.0	0.0	1.065	1.15	184339096.0	184339096
cache_dram82_remap0	barnes	0.036924	0.0	7133491.0	6288.0	0.4725	0.48	718838383.0	718838383
cache_dram82_remap0	cholesky	0.0335256	0.0	10465185.0	2300.0	1.1675	1.24	67800507.0	67800507
cache_dram82_remap0	fft	0.0340032	0.0	37347550.0	3636.0	1.08	1.08	199503253.0	199503253
cache_dram82_remap0	fmm	0.109436	0.0	10367409.0	2111.0	1.3	1.31	361249164.0	361249164
