Applicaiton	Config	Miss Rate	Hot Access	Cool Access	Remap Access	Average IPC	Max IPC	Average Time	Max Time
fft	cache_cpu101_no-remap	0.0338301	1844323.0	35507169.0	0.0	2.04	2.04	105490653.0	105490653
fft	cache_cpu101_remap0	0.127783	0.0	34918003.0	213679.0	1.96	1.96	110232953.0	110232953
fft	cache_cpu101_remap1g	0.0559095	0.0	37396910.0	204563.0	1.98	1.98	108727453.0	108727453
fft	cache_cpu101_remap1l	0.0748487	0.0	36855587.0	192635.0	1.98	1.98	109171053.0	109171053
fft	cache_cpu102_no-remap	0.0338254	2609464.0	34741599.0	0.0	2.07	2.07	104041753.0	104041753
fft	cache_cpu102_remap0	0.142457	0.0	34542521.0	260644.0	1.97	1.97	109464953.0	109464953
fft	cache_cpu102_remap1g	0.0608051	0.0	37405240.0	252644.0	2.01	2.01	107135955.0	107135955
fft	cache_cpu102_remap1l	0.102263	0.0	36214286.0	231367.0	2.02	2.02	106866453.0	106866453
fft	cache_cpu103_no-remap	0.0338182	3343568.0	34008775.0	0.0	2.1	2.1	102738953.0	102738953
fft	cache_cpu103_remap0	0.199404	0.0	33036898.0	250965.0	2.02	2.02	107000053.0	107000053
fft	cache_cpu103_remap1g	0.0721183	0.0	37399385.0	271807.0	2.04	2.04	105641576.0	105641576
fft	cache_cpu103_remap1l	0.137123	0.0	35340297.0	271626.0	2.03	2.03	106266953.0	106266953
fft	cache_cpu104_no-remap	0.0338274	4376147.0	32973629.0	0.0	2.16	2.16	100034253.0	100034253
fft	cache_cpu104_remap0	0.201577	0.0	32997929.0	265859.0	2.06	2.06	104864853.0	104864853
fft	cache_cpu104_remap1g	0.0730568	0.0	37418368.0	245027.0	2.11	2.11	102330653.0	102330653
fft	cache_cpu104_remap1l	0.145163	0.0	35079446.0	251015.0	2.07	2.07	104227853.0	104227853
fft	cache_cpu105_no-remap	0.0338443	4590559.0	32760409.0	0.0	2.19	2.19	98322553.0	98322553
fft	cache_cpu105_remap0	0.199054	0.0	33057453.0	282031.0	2.06	2.06	104558553.0	104558553
fft	cache_cpu105_remap1g	0.0781393	0.0	37382161.0	246921.0	2.12	2.12	101506153.0	101506153
fft	cache_cpu105_remap1l	0.142046	0.0	35201556.0	317438.0	2.07	2.07	104356953.0	104356953
fmm	cache_no-dtm_no-remap	0.109434	2896618.0	7471551.0	0.0	2.4475	2.47	192025259.0	192025259
fmm	cache_no-dtm_remap0	0.404145	0.0	7392256.0	449062.0	2.3725	2.39	198086659.0	198086659
fmm	cache_no-dtm_remap1g	0.44389	0.0	9840617.0	467646.0	2.3575	2.38	199313463.0	199313463
fmm	cache_no-dtm_remap1l	0.413932	0.0	8058073.0	456316.0	2.3675	2.39	198256763.0	198256763
fmm	no_cache_no-dtm_no-remap	1.0	0.0	0.0	0.0	2.1975	2.22	214082059.0	214082059
fmm	cache_cpu101_no-remap	0.109122	318211.0	10052083.0	0.0	1.8375	1.85	255623263.0	255623263
fmm	cache_cpu101_remap0	0.155611	0.0	9915174.0	233166.0	1.8275	1.84	257240864.0	257240864
fmm	cache_cpu101_remap1g	0.158483	0.0	10285896.0	239496.0	1.825	1.84	257798263.0	257798263
fmm	cache_cpu101_remap1l	0.162457	0.0	10236471.0	245785.0	1.825	1.84	257653764.0	257653764
fmm	cache_cpu102_no-remap	0.109185	387450.0	9983152.0	0.0	1.8675	1.88	251650264.0	251650264
fmm	cache_cpu102_remap0	0.193818	0.0	9521772.0	253994.0	1.8625	1.88	252391864.0	252391864
fmm	cache_cpu102_remap1g	0.194203	0.0	10229800.0	233865.0	1.85	1.87	253956504.0	253956504
fmm	cache_cpu102_remap1l	0.199582	0.0	10111430.0	262712.0	1.8575	1.87	253034459.0	253034459
fmm	cache_cpu103_no-remap	0.109448	710200.0	9657870.0	0.0	1.91	1.93	246027063.0	246027063
fmm	cache_cpu103_remap0	0.230547	0.0	9157408.0	296019.0	1.895	1.91	248209859.0	248209859
fmm	cache_cpu103_remap1g	0.236437	0.0	10164484.0	305061.0	1.885	1.9	249438963.0	249438963
fmm	cache_cpu103_remap1l	0.228983	0.0	9897754.0	294936.0	1.895	1.91	248299759.0	248299759
fmm	cache_cpu104_no-remap	0.109502	1057462.0	9306535.0	0.0	1.945	1.96	241449659.0	241449659
fmm	cache_cpu104_remap0	0.267216	0.0	8774732.0	223786.0	1.9325	1.95	243188463.0	243188463
fmm	cache_cpu104_remap1g	0.285374	0.0	10094380.0	223720.0	1.925	1.94	244307963.0	244307963
fmm	cache_cpu104_remap1l	0.274577	0.0	9539276.0	233979.0	1.925	1.94	243997759.0	243997759
fmm	cache_cpu105_no-remap	0.109636	1741944.0	8622344.0	0.0	2.01	2.03	234053212.0	234053212
fmm	cache_cpu105_remap0	0.287969	0.0	8547214.0	148218.0	1.98	2.0	237509859.0	237509859
fmm	cache_cpu105_remap1g	0.303574	0.0	10063667.0	167030.0	1.97	1.99	238680659.0	238680659
fmm	cache_cpu105_remap1l	0.300458	0.0	9295128.0	166606.0	1.9725	1.99	238237903.0	238237903
lu.cont	cache_no-dtm_no-remap	0.0325242	3283226.0	8696067.0	0.0	2.19	2.24	118579388.0	118579388
lu.cont	cache_no-dtm_remap0	0.299924	0.0	8938339.0	198824.0	2.05	2.1	126886762.0	126886762
lu.cont	cache_no-dtm_remap1g	0.0381001	0.0	12108108.0	245341.0	2.16	2.21	120051599.0	120051599
lu.cont	cache_no-dtm_remap1l	0.212868	0.0	10018652.0	202909.0	2.0925	2.14	124055788.0	124055788
lu.cont	no_cache_no-dtm_no-remap	1.0	0.0	0.0	0.0	1.8675	1.91	139228399.0	139228399
lu.cont	cache_cpu101_no-remap	0.0325448	2103671.0	9880571.0	0.0	1.74	1.78	149495462.0	149495462
lu.cont	cache_cpu101_remap0	0.231749	0.0	9717545.0	135409.0	1.67	1.71	155608062.0	155608062
lu.cont	cache_cpu101_remap1g	0.0347884	0.0	12058115.0	133300.0	1.7225	1.77	150631978.0	150631978
lu.cont	cache_cpu101_remap1l	0.141266	0.0	10814902.0	135337.0	1.7	1.74	153126441.0	153126441
lu.cont	cache_cpu102_no-remap	0.032562	2346370.0	9638692.0	0.0	1.78	1.82	145967162.0	145967162
lu.cont	cache_cpu102_remap0	0.241393	0.0	9608392.0	135423.0	1.7	1.74	152694162.0	152694162
lu.cont	cache_cpu102_remap1g	0.0354824	0.0	12061946.0	135419.0	1.77	1.81	146807599.0	146807599
lu.cont	cache_cpu102_remap1l	0.149127	0.0	10741352.0	135351.0	1.73	1.77	150475162.0	150475162
lu.cont	cache_cpu103_no-remap	0.032543	2420533.0	9564688.0	0.0	1.82	1.86	142598704.0	142598704
lu.cont	cache_cpu103_remap0	0.245492	0.0	9559425.0	135422.0	1.73	1.77	150036604.0	150036604
lu.cont	cache_cpu103_remap1g	0.0354275	0.0	12064971.0	135421.0	1.8025	1.85	143918899.0	143918899
lu.cont	cache_cpu103_remap1l	0.154467	0.0	10680129.0	135327.0	1.76	1.8	147839299.0	147839299
lu.cont	cache_cpu104_no-remap	0.0325503	2442178.0	9539374.0	0.0	1.8375	1.88	141453688.0	141453688
lu.cont	cache_cpu104_remap0	0.247938	0.0	9527242.0	135418.0	1.74	1.78	149614920.0	149614920
