#IPC_TABLE
Temperature	AVG_IPC	HOT_RATE
dram80	0.482319853721	0.0
dram81	0.529048559963	0.0
dram82	0.580736066968	0.0
dram83	0.627940008902	0.0
dram84	0.673610281053	0.0010467484028
dram85	0.710383085935	0.0030505421721
dram86	0.747568812522	0.0123364252901
dram87	0.782914730062	0.0252974293169
dram88	0.814222044998	0.0503916104889
dram89	0.839604168129	0.068848630135
dram90	0.861597804315	0.0958632616983
cpu95	0.743008811619	0.00149854113307
cpu96	0.759904786023	0.00157499863726
cpu97	0.775778091038	0.00873040380201
cpu98	0.79035885223	0.0174372164811
cpu99	0.807423475493	0.0352720965862
cpu100	0.827924936476	0.0608777110633
cpu101	0.845690180187	0.0855471409685
cpu102	0.858106627812	0.0976029028399
cpu103	0.873290434621	0.106833924014
cpu104	0.88620631163	0.116999796724
cpu105	0.892737425742	0.126322910919
