Application	Amazon		Twitter		Wiki		Pokec		LJournal		Uniform		G500
bfs	0.22	252.41	0.19	249.80	0.18	2514.83	0.24	311.88	0.21	2093.11	0.21	114.39	0.56	426.08
sssp	0.21	245.74	0.19	246.14	0.18	2027.29	0.25	327.64	0.20	1667.23	0.21	114.05	0.61	466.43
pr	1.21	1523.10	1.00	1333.11	1.04	14486.45	1.37	1901.03	1.04	9994.45	1.05	551.04	3.80	2902.83
